127.0.0.1 - - [03/Jun/2023:10:57:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jun/2023:10:57:14 +0530] "GET /OTT-01/ HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [03/Jun/2023:10:57:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:02:13 +0530] "GET /OTT-01/ HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:05:20 +0530] "GET /OTT-01/ HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:06:10 +0530] "GET /OTT-01/ HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:06:22 +0530] "GET /OTT-01/ HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:06:50 +0530] "GET /OTT-01/ HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:07:04 +0530] "GET /OTT-01/ HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:07:17 +0530] "GET /OTT-01/ HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:07:23 +0530] "GET /OTT-01/ HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:07:33 +0530] "GET /OTT-01/ HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:08:25 +0530] "GET /OTT-01/ HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:09:02 +0530] "GET /OTT-01/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:09:15 +0530] "GET /OTT-01/ HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:09:30 +0530] "GET /OTT-01/ HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:09:43 +0530] "GET /OTT-01/ HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:09:44 +0530] "GET /OTT-01/ HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:10:11 +0530] "GET /OTT-01/ HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:10:46 +0530] "GET /OTT-01/ HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:12:59 +0530] "GET /OTT-01/ HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:13:03 +0530] "GET /OTT-01/ HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:13:03 +0530] "GET /OTT-01/ HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:13:08 +0530] "GET /OTT-01/ HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:13:09 +0530] "GET /OTT-01/ HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:13:28 +0530] "GET /OTT-01/ HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:13:30 +0530] "GET /OTT-01/ HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:13:30 +0530] "GET /OTT-01/ HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [03/Jun/2023:11:13:31 +0530] "GET /OTT-01/ HTTP/1.1" 200 1047
